tweet_id,airline_sentiment,text
570295202616889345,neutral,@USAirways Yes. Confirmation number and all.
570294237348143104,neutral,@USAirways did you know that suicide is the second leading cause of death among teens 10-24
570293289045364736,positive,"@USAirways getting sorted, thanks"
570292371340062720,negative,@USAirways Sadly I'm currently booked on one of your flights tomorrow that I will be changing if I can.
570291091204919297,neutral,@USAirways that is certainly not the impression she's under.
570290730796777473,negative,@USAirways standby so far for two of us. With snow storm hitting Iowa tomorrow we could be stuck here for two days.
570290421336813568,positive,@USAirways thank you!!
570289532953874432,neutral,"@USAirways If I know I left something on my last flight (as I literally had to run to make my connection), how can I retrieve it please?"
570289473898082305,negative,@USAirways Why can't I check in online for a flight tomorrow am?
570288981847502850,negative,@USAirways - been standing at the gate for 45 min trying to go standby bc I will miss my connection. No help! Do NOT fly US AIRWAYS!
570288667790594048,negative,"@USAirways after being assured by the pleasant woman at gate B11 in Albany, NY that life's not perfect, I'd heard enough."
570288445156941824,neutral,@USAirways How do I get a receipt for a change fee when I originally booked with miles?
570288039454486529,negative,"@USAirways: u didn't bother following up, we booked with @Delta.  @Delta understands cust srv: provided lunch 4 delays &amp; upgraded seats!"
570287589216751616,neutral,@USAirways we even offered to fly in to another airport and they said they couldn't do that. No explanation why they can't.
570287318264905729,neutral,@USAirways any travel advisory coming for the Carolinas?  Bad weather!
570286925556424705,negative,@USAirways There is an error w/ my preferred status &amp; I'm not able to reach an agent via phone. Travel Friday. Need resolved - contact info?
570286345454800896,negative,@USAirways @AmericanAir how does a pilot forget log book? Been waiting on plane for 45 mins!! #AlsoNoDrinkCartComingAround
570286290203070465,negative,@USAirways already did it. One person said they couldn't do anything another said she didn't know why the first person we talked 2 said that
570286035118071808,negative,@USAirways @AshleyKAtherton Over an hour on hold so far
570285320085880832,negative,"@usairways RT @Dmoukdarath: Nice, another delay with @usair second one this trip. Left engine leaking...what's next?? #USAIR #nothappy"
570285070184898561,negative,@USAirways I want to love you! 43 minutes on hold! Help me understand why I switched loyalty programs. http://t.co/cHGy5yrVka
570284855163883520,negative,@USAirways 59 minutes now. Nice customer service you got going on.
570281232287731712,negative,@USAirways 44 minutes on hold so far. And still haven't spoke to a human. Never using you again.
570280852791422976,neutral,@USAirways where is your email address? Its not on this page: http://t.co/5cwH1yfOow
570280737951375360,negative,@USAirways You have no idea how upset and frustrated I am right now. I'll be sure to follow through with never flying with you again.
570280653389996034,negative,@USAirways how can a person go from number one on a standby list to number twelve in three hours?  Should I be super platinum diamond status
570280436796166144,negative,"@USAirways Forget reservations. Thank you to the great leadership at your company, I've Cancelled Flighted my flight. Once again, thank you."
570279106090274817,positive,@USAirways great job today from your team with a challenging weather delay on flight 1925 out of Charlotte. #travel #friendlyteam
570279050276704257,neutral,"@USAirways ""Airport snow removal method #22...""
Keep up the good work folks, this is where Cessna's become 747's! http://t.co/0JJT4X3YxG"
570278902959988736,neutral,@USAirways and now you can't even accommodate us by letting us fly in to another airport?! Horrible service for your fault!!!
570278432417972224,negative,.@USAirways It was this saturday during all the snow in the DC area.  Excited the flight was not Cancelled Flightled but sad he went missing.
570278202897276928,negative,"@USAirways @AmericanAir I love you guys &amp; I'm gonna let you finish, but I've been on hold for 1 hour trying to book a flight w/ my voucher."
570277612389412864,negative,"@USAirways And, the helpful employee who changed her boarding zone so that she would have space for her pump is now being disciplined #fail"
570276878788861953,negative,@USAirways Need to talk to a person about my bag. Waiting on hold for two hours. Bag s!b delivered last night. Online says not found.
570276806512779264,neutral,@USAirways  2 calls &amp; wasted 3 hrs on hold to change my coming divided awards weather reLate Flightd flight. Y'all disconnected me 2x. Please help.
570276681551732736,negative,@USAirways I don't want your sympathy I want someone to make an effort to find my bag
570276439829774336,negative,"@USAirways She spoke with someone this AM and was told that breast pumps aren't medical equipment and that she should have ""planned better."""
570275106724782080,negative,@USAirways - 800# referred me back to baggage services but I left the airport. I was on seat 17A
570274750821486592,positive,@USAirways thank you very much.
570274417546113025,neutral,"@USAirways I left my personal stuff on US4551 from PHL-BOS about an hour ago. Went baggage, was told plane left to call 800#"
570274302118858752,negative,@USAirways - First impressions are hard to reverse.  A horrible first experience with you.  Will never fly with you again!!!
570274057729519617,neutral,@USAirways is there a phone number or email address to customer service?
570273880486629377,negative,"@USAirways not going as planned is an understatement. My flight was just changed AGAIN. If it weren't for a family emergency, I'd Cancelled Flight."
570273188485197825,negative,"@USAirways ...2 hours on the plane, they at least got us on a direct flight a couple hours Late Flightr on United"
570272465299083264,negative,@USAirways sadly that didn't help me at my meeting at work today seeing as my presentation was in there! Major strike against me!!!
570272309434564608,negative,.@USAirways I did but the more eyes I have looking for Pandu the better chance I have of bringing him home.
570272154635374592,negative,@USAirways my bag is still lost and I can not get anyone on the phone to assist me and the tracking updates have stopped
570271713512046592,positive,@USAirways thanks !!!
570271209822294016,neutral,@USAirways so I can make a reservation
570271160363057154,neutral,@USAirways I didn't make a reservation yet. It's about changing name on my dividend miles account
570270772746461186,negative,"@USAirways 167 minutes?  ""Im not trained in that"". Cmon. Can't you do better than that?"
570270630660218881,neutral,"@USAirways if I qualify for free 1st checked bag, is that applied at checkin? Same for using companion tickets?"
570269976042573824,negative,@USAirways any direct number to dividend miles account info? Every Time I try them I get actually hung up on
570269272502607873,negative,@USAirways trying to use chairman upgrade cert for flt 740 on 2/26/14 but being told not an option with 10 open seats? How? Thanks
570267781859557377,negative,@USAirways but I've been trying to call them since yesterday and I keep getting hung up on? Can you get me through to them??
570266871586553856,neutral,@USAirways what's the charge for oversize? Not overweight
570265780186710017,neutral,"@USAirways to my legal last name. So it's not technically a name change,
I just used the wrong name"
570265699215675392,negative,@USAirways an award travel ticket but cannot since it is under a different last name. I simply need to change it
570265609122029568,neutral,@USAirways Hi! On my dividend miles account I accidentally listed my newly married name as opposed to my legal name. I am trying to book
570264306350227456,negative,@usairways Ok thank you…I call from Spain to US for seating assistance!
570262977947013120,neutral,@USAirways can I check bags through to my final destination even though I bought separate tickets from IAD to PHL  and PHL to Israel?
570262676481421312,negative,@USAirways 2day: no coffee &amp; 1 working toilet.  Then I read domestic airlines whining re: foreign competition.  Coincidence?  No  #openskies
570259388872695808,neutral,@USAirways how much is it to check golf clubs on a flight. They might be oversized
570259268844314625,neutral,@USAirways If I’m unable to use my departing flight can I still use the returning flight?
570258946860171264,neutral,@usairways Is it possible to Cancelled Flight my reservation online?
570258435448688641,negative,"@USAirways I've been on hold to rebook a Cancelled Flighted flight for over two hours. I know weather has a huge impact, but you should anticipate."
570258209534922752,negative,"@USAirways Been on hold for over 5 hours! I believe I was overcharged $200 for my flight, I need an immediate explanation. HELP"
570257918798516224,neutral,"@USAirways Thank you, although we're using our miles from our card and Flight Booking Problems companion tickets which can only be booked over the phone."
570257107737571329,positive,@USAirways I made it- thx.
570256300556165122,negative,@USAirways still on hold...1 hr 27 mins....thank god for chairman status. status match @Delta?
570255224155348992,neutral,"@USAirways Is there a phone line to call into that isn't being affected by ""bad weather""? Trying to book a vacation, here... 👀"
570253865066602497,negative,@USAirways has the worst customer service. Can't even get through to a rep you gotta be kidding me
570252052099678208,negative,@USAirways @Beamske But maybe I can be on hold for 30 minutes again. That would be just as amazing.
570251909447192577,negative,@USAirways @Beamske how about a real live person talk to the person whose luggage was lost for 4 days and vacation wrecked . @yorkshire2002
570250989305004033,negative,@usairways is your clt departures delayed? Hoping I can make my connection after a lengthy take off delay and endless taxi-ing here at clt
570250443034640384,positive,@USAirways I'm glad @Beamske retweeted otherwise you would have to ignore the numerous tweets I sent. You all are fucking amazing
570249204767055872,negative,@USAirways So frustrating because I still have not gotten them back. Why my bag was sent to NY is a mystery!  Shame on me this time!
570248954572619776,negative,@USAirways I will NEVER travel US Airways again. Flew in from LA to DC last night and for the 2nd time on this airline my bags didn't arrive
570248242853773312,positive,@USAirways haha no worries you guys are the best!  +1 for spelling my name correctly
570247763704868864,negative,@USAirways like they will call me? I'v been trying since yesterday and no one is answering...
570245576815546368,negative,"@USAirways your CSR in PHL suck.   Flt 3883 gets cx'd,  i get rebooked to the next day?  On standby for 4011. Not hopeful."
570243874062503936,negative,@USAirways HELLO!! Is anyone behind your twitter account? #badcustomerservice
570242474750423040,negative,@USAirways I keep getting hung up on. PLEASE respond so I can book a ticket with you. I won't be able to buy one unless I speak to someone!
570242452092813312,negative,@USAirways hey!!  Yeah last time I got a phone call when flight was Cancelled Flightled from DCA to BOS
570242191685234688,negative,@USAirways You should be prepared for Weather. All I want to do is find out if I can take train to PHL to catch my connection.
570241590758920192,negative,"@USAirways When you are deciding to wreck a vacation... is losing luggage from a Cancelled Flighted flight your ""go to"" maneuver?"
570240576144211968,positive,@USAirways see you on board tomorrow
570239546673238017,negative,"@USAirways Been on hold for 40 minutes, calling because my flight is delayed.  This type of service in not acceptable."
570237453229019137,negative,@USAirways been on hold for 2 hours for something which I could have done in less than 1 minute if it was available.Your site UX is awe full
570236495367315456,negative,@USAirways then drop your fee! $150 ($300RT!!!!) makes no sense; most EU airlines charge $0. @AirCanada charges a reasonable $50.
570236313393373186,negative,@USAirways i understand that but i should still be able to view my reservation online....
570235676916117504,negative,@USAirways another fiasco at National. Forever from jet to gate on 8:05am flight from RDU
570235609933078529,negative,"@USAirways - Good to know that your phone customer service is still impaired due to ""bad weather"" that was over a week ago #jetblueanyone?"
570232671353376769,negative,"@USAirways OK we are on DAY 11 trying to  book a flight for 4.  Ur system STILL says ""due to weather….call back Late Flightr""  #outofbusiness ?"
570231786824994816,negative,@USAirways Thanks again for ruiningmy vacation.  You all are the best for this.  Could not have done it without you.
570231607757381632,negative,@USAirways @AmericanAir our honeymoon was delayed a day because a gas cap was not screwed on! Flight 1801- so frustrating!
570230527032229889,negative,@USAirways Your policy needs a serious revision for babies.  Fortunately I have choices and choose @Southwest from here on out.
570229647713148928,negative,@USAirways still ignoring my question. #USAirways consistently providing poor customer service.
570229176621510659,negative,@USAirways they have all of this at hotels. Still don't have my work folder or business casual clothes. #worst http://t.co/JIEYCat1Ek
570226365410230272,negative,@USAirways oh I got right through to an agent. They just kept putting me on hold and still didn't fix the problem
570226104839090176,negative,@USAirways There is no reFlight Booking Problems the event I'm flying to attend. Waiting for jetway driver??? STILL ON TARMAC???
570225817873227776,negative,@USAirways Baggage Team? Recording tells me my bag still hasn't been found. And delayed baggage link on web conveniently not working. #worst
5.70225E+17,negative,@USAirways been trying for weeks no use
570223944260849664,negative,@USAirways should give me free baggage for this mess
570223851570909185,negative,"@USAirways Gate traffic #DCA, MY flight arrived 20 early,connecting flight 2139 leaving in 23 minutes. Several of us stuck. HOLD THAT PLANE."
570223460632403969,negative,@USAirways I really feel like your company needs evaluate their policies &amp; realize that transfers should be possible for tickets
570222748615598081,neutral,@USAirways I know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours? 🙏
570222481618948096,negative,@USAirways seriously???  did you not see that I've spent 2 days - for multiple hours on hold just to have to hang up after the hours?
570220968435716097,positive,"@USAirways Waiting on my flight right now, thanks!!"
570219953741279232,neutral,@USAirways How do I add my TSA Pre number to an existing reservation?
570219138125324288,neutral,@USAirways can i please have someone call me 781 879 4505
570217639584395264,positive,@USAirways We're back at a gate. Opposite of wheels up. Im sure we'll get thete eventually. So thanks.
570217450874146818,negative,@USAirways. R U aware your wait time to talk to a sales agent is always 30-60 minutes? Unacceptable. At least employ a call back feature!
570215793511825408,neutral,@USAirways &amp; @AmericanAir: 1 flight Cancelled Flightled yesterday and now a delay today has robbed my daughter of 2 days with her grandparents. Thanks
570215234088116224,negative,@USAirways 1729 connecting in charlotte to houston. Mechanical issue determined while q'd to take off. And we checked our bags.
570214488739225601,negative,@USAirways can you DM please in regards to update on lost bag please.
570213946348560388,negative,@USAirways need to retrain US 3837 lead flight attendant and gate agent at arrival MKE 2/23.  Horrible attitudes toward helping customers.
570213783085432832,negative,@USAirways Youre batting .1000. Every flight Ive taken is delayed. Worst airline. ever.
570212087223287809,positive,@USAirways knows customer service!! Thank you for starting our 2 week vacay on an amazing note! Thank you sarita!!!
570208640520622080,negative,@USAirways why aren't you updating flight status/delays?
570208313163550721,negative,@USAirways They're also saying the CLT flights are delayed but you're not showing it in your system which makes it impossible to figure out
570208172289474560,negative,"@USAirways nope, they just announced we're headed back to the gate."
570206113783795713,negative,@USAirways pretty sure we didn't actually take off at 7:10 http://t.co/vuxf4r4Unu
570205604314255360,negative,@USAirways well then that is a horrible flaw in your system. 2 hours in the past day I've wasted. I've got a job &amp; family this is crazy
570205370649604096,negative,@USAirways 5203 and we're just sitting 20 feet from an open gate
570204219191504896,negative,@USAirways just wasted another hour of my life on hold. this is insanity. there has to be another way to use my voucher as payment online
570203789963218944,negative,@USAirways what's wrong with the plane? Flt 581
570203037823836160,negative,"@USAirways @united two broken airplanes, two days Late Flightr and I'm stranded after a funeral and missing out on my last semester of #college. 👍"
570199481943261184,negative,@USAirways @AmericanAir Day 3 &amp; still no luggage Chkd http://t.co/MbLTALr4BS STATUS=AWAITING ASGMNT TO DRIVER Since yest 10:15am
570197883716300800,negative,@USAirways Flight 830 CLT to Phl. I was 1st on list.Someone else got spot. Rude employee in coach. Wouldt give ID. Said he was cute red head
570197868813918208,negative,"@USAirways asked her why needed to take yellow tag off. She said, ""because I told you to!"" Expect a personal apology from her- unacceptable!"
570196428364111873,negative,"@USAirways , since jan 22 have been on 10 flights. Why the disrespect in CLT, flt #2063 at 2:50pm on 18feb to DCA? just asked herba question"
570195970610348032,negative,@USAirways nah it's for my flight next week.. inside my Chairman 7-day window but you still haven't released the last open First seat to me
570192366272970752,neutral,@USAirways flight 1946 out of clt this morning.  It's snowing here.  Should i head out to the airport?
570190931321757696,negative,@USAirways I've been on hold for 41min. Just trying to change my reservation.
570185347453329409,neutral,@USAirways I am a UK citizen. Is there a UK number I could try?
570184073139912704,negative,@USAirways I just spent 3.5 hours and got nowhere. Entire experience #epicfail
570181464773562368,negative,@USAirways Changing my flights with no explanations and still don't have a confirmation. So disappointed in the service
570177698166923267,negative,@USAirways nope not yet...
570157409458642944,negative,@usairways I will make sure to never use your incompetent airlines again. My luggage has been out for delivery for 24 hours.
570157210183069696,negative,"@usairways My flight was Cancelled Flighted Saturday. Why was my luggage not at the airport? Today, I'm supposed to have it delivered. Pathetic"
570156989541687296,negative,@usairways  Thank you for allowing me to spend more money on vacation by buying things I already bought.
570156777297350656,negative,@usairways Thanks so much for ruining my vacation. I really couldn't have done it without you.
570151995472027649,negative,@USAirways it's not like I'm trying to leave earlier just for fun. I don't want to get stuck in DC if we have bad weather in RDU.
570151703410053120,negative,@USAirways some flexibility on your part would be nice. This is why I love @SouthwestAir. They're flexible &amp; not trying to take all my $.
570133607223840768,positive,@USAirways Excited that I'll be flying from Syracuse to interview in Dallas on Friday for the FA position- this is a goal &amp; dream of mine!
570125976195219456,negative,@USAirways thank you for reaching out to me. Hopefully my request will be fixed and I can remain a loyal customer.
570120432453615617,negative,@USAirways it doesn't take 6 days to respond to an already open case!
570119853312311296,positive,"@usairways great crew for flight 504 PHX to YVR tonight! Friendly, efficient. Awesome job."
570114300888678401,negative,@USAirways are people going to answer our calls?
570114273021534209,negative,@USAirways pilot forgets to show up to work and Ricky J (gate agent) gives customers attitude. #usairwaysfail
570110504254857217,negative,@USAirways : You Make the Reservation; We'll Make the Excuses! #usairwaysfail
570110280635588608,positive,@USAirways Thank You for your empathy there is more to this story than just the luggage but thank you for reaching out
570109961511895040,negative,@USAirways is utterly unreliable! They didn't schedule a pilot for their US624 flight out of Seattle - flights are delayed #usairwaysfail
570109219078152193,negative,@USAirways yes but again valuable time has been lost
570108987284197376,negative,@USAirways I don't like being lied to. No bad weather in dc md va. I've been stuck in CA all day and should've been home by now. You owe me.
570108377029685248,negative,@USAirways yes it landed at 11:40am. Should not take another 12+ hours to go 40 min drive. Was assured I would have this am.
570106579879645185,negative,@USAirways the disappointment was not the bag but that it arrived before me and I was kept 12 hrs without options in IAH
570105696219308033,negative,@USAirways can't get back lost time
570104704241307649,negative,@USAirways flt 1820 2rsw could have extended the courtsey of waiting 2min 4 10 of us.... gates closed in r faces.  Ur fired
570104544622981122,negative,@USAirways - thanks however I feel like the system has failed me -- what is the solution?
570101746590093312,negative,@USAirways my bag landed 1 day Late Flight at sfo at 11:40am. How can it be 10:01pm and I still don't have it? Flight 719 2/22/14
570098159076171776,positive,@USAirways thanks very much! I got thru on the phone &amp; everything is fine. Just love the website &amp; app ! Thanks for working on it!
570097596913623040,negative,"@USAirways thanks for nothing. Bought two tix through you to Disney and my friend can't go and now I have to eat the 400, plus 600 for new 1"
570091270334509056,negative,@USAirways Hi. I'm in LGA but my luggage is in CLT. Have been told to come back tomorrow to collect. Do you guys want to cover my taxi fare?
570085837821632512,negative,"@USAirways  Instead of fair treatment, I got a nasty letter from a lady in senior management that illness forfeits miles like death."
570085644015419393,negative,"@USAirways  A few years ago I lost over 50,000 miles bc I was physically unable to fly during the period.  I submitted a doctor's note."
570085487261700096,negative,@USAirways  I've never been treated this badly
570085423801888768,negative,@USAirways  I'm glad this airline is going to be swallowed by American!!! American always picks up the phone and solves problems.
570085229576265728,negative,@USAirways  Three months and my miles haven't been credited.  No one is going to read the email I sent.
570085132251598850,negative,@USAirways   My email gets me a canned response that it takes 10 days for mileage to get credited --- It's been three months and my miles
570084871101661184,neutral,@USAirways  My tweet gets me a response to email dmsc@usairways.com
570084707548958720,neutral,@USAirways The help/complaint forms on the website can be used only if the matter applies to an actual ticketed flight
570084406204997632,negative,@USAirways   No one picks up the phone all day/  no opportunity to leave a voicemail
570084337099673600,negative,"@USAirways  Instead, the miles are credited to an account that i did not open
-- My request to merge the accounts is denied"
570084217301962752,negative,@USAirways No I was there 12 hrs early! Send me an email to share my experience You don't want this blasting here.
570084200235335680,negative,"@USAirways  I open the credit card and earn 44,000+ miles, and you wont' credit the miles to my account to restore the forfeited miles"
570083998380232704,negative,@USAirways  you took the miles out of my account and told me that I could restore by paying $150 or opening a credit card
570083761582428160,negative,"@USAirways  - I had 20,748 miles in  my account and was informed I'd forfeit them bc of 33 months of inactivity - I"
570083548364992512,negative,@usairways - It's all automated and no one cares to understand the problem I'm having
570083458925490176,negative,@USAirways screwed me up big. 1st flight 1hr Late Flight. Made it to 2nd flight. CSM daryl wouldn't let me on the plane because we were (1/4)
570083021099032576,negative,"@USAirways Houston hub Aa T. Employee the bag is not here, It made it to Pa before me! Oops not your problem http://t.co/Uld0hWFkfo"
570082431304392704,negative,"@USAirways charged my card 11 times for one airline ticket, now card is on security hold"
570082420936052737,negative,@USAirways not yet. But we will see shortly.
570081545211375616,negative,@USAirways I've flown US Airways at least five times. Every single time has been like this. Actions speak louder than words.
570081206412431360,negative,@USAirways flight from Bhm delayed 5hrs! Connect flgt left us in clt at a motel
570079855821389824,negative,"@USAirways membership has no privileges anymore - my son is in the army, short window to see him - NO help."
570079508797243392,negative,@USAirways honestly - how is it quickly as possible I've been on hold sine 9:50pm? Everyone that answers has to send me to someone else.
570078379421990912,negative,@USAirways done it! Process initiated Saturday morning.  Can't get info with website issues &amp; inadequate phone coverage.  How 2 get update??
570078355770339328,negative,@USAirways yay for glitchy tracking system!  My bags made it to my destination and not Laguardia like the app said!
570078280591781888,negative,@USAirways really???  NOT ONE OF THEM CAN BOOK DIVIDEND MILES TRAVEL - Literally on hold now since 9:50pm - it's 11:30pm #NoExcuses
570078102551834624,negative,"@USAirways yeah I know that but that doesn't get me my money back does it, everytime I fly with you something bad happens."
570078049779081216,positive,"BY THE GRACE OF GOD, I MADE IT! “@USAirways: @__RWG__ We don't have those powers in here. We hope you can make that flight.”"
570077991436484609,negative,@USAirways Everyone is sorry.  Don't have what I need for meeting tomorrow.  140 charac. isn't nearly enough to highlight your shortcomings
570076827135246336,negative,@USAirways is the worst. I have to pay $200 just to NOT take my first flight in a round trip! Otherwise they'll Cancelled Flight my whole flight.
570075916430397440,negative,"@USAirways if it was so important, why did I wait on hold and then get hung up on by your computer?  #disappointed"
570075866748694528,neutral,@USAirways thank u i wiil write after call  travel agency
570075456302649344,negative,@USAirways terrible service
570074662086045696,negative,"@USAirways Disgusted with your poor customer service. U wrongfully remove &gt; 65,000 miles from my Dividend Miles and no live person,"
570074077383102464,negative,@USAirways Please hold flight US 639 in Phoenix! I'm a weary traveler stuck on another flight because the tarmac is having issues!
570073507465469952,negative,"@USAirways - No live person to speak with all day at Dividend Miles, after they wrongfully took over 65,000 miles out of my account."
570073473952968705,negative,@USAirways my frustrations are the result of multiple experiences Late Flightly. Currently lost luggage. I want to talk to a real person.
570072227942674432,negative,"@USAirways cust svc means nothing! So disappointed. Trying since 730a to speak to a human I get bad weather not bad service.
#socialtantrum"
570071350133579776,negative,"@USAirways yes, but I had to pay more for another flight to get me out tomorrow since there weren't anymore for tonight...not fun :-/"
570071071220609024,negative,"@USAirways Well, that's a problem considering I need to book a flight tonight for this weekend... is there anything you can do?"
570070928425676800,neutral,@USAirways but i bougth mc caren to jfk with same agency and delta airways . Delta refund money but usairways doesnt accept to refund
570070449406812160,negative,@USAirways it is my fault but i bought online and i get twice why i buy twice it fault but i bougth ticket jfk to mccaren and usairways ++
570069362310324224,negative,"@usairways  US1799 CLT-&gt;SFO in first no desert, no snack basket. Incoming was on time ? What’s up?"
570068659193950208,neutral,@USAirways thank you.
570067865946234883,negative,"@USAirways was transf, held 15-18 min more b4 agent answered and helped. By time I got to person fare I'd seen was gone.  Had to get supv."
570064017022181376,negative,@USAirways you are the actual worst.  You have zero respect for your passengers. I'm officially done flying with you.
570063683256242177,negative,@USAirways has the worst customer service line.  I've called them 8 times today and not once was I able to talk to a real human being.
570061827100422144,negative,@usairways that wasn't the issue. Someone finally helped on the phone. Now theres a website error that won't let me process my request. SMH
570061033253023744,negative,@USAirways you say to call travel agency and they say we cant refund because usairways didnt accept this.
570060873328414721,negative,@USAirways ... I f@$%ing hate you.
570060752926728192,negative,@USAirways travel agency said that if usairways accept we will refund money i dont understand why dont u refund
570060273798631424,negative,"@USAirways Yes &amp; have already spent 1K+ on the card &amp; paid the $89 annual fee, but the 50K miles have not shown up. Want to fly AUS --&gt; ATL"
570060272049778688,negative,@USAirways no i use to skyscanner and travel agency and i called u . You said you should call travel agency but
570058295689523200,negative,"@USAirways finally spoke with someone. I have to email the refund dept. I love you guys, but 6 hours in line to be told no dice sucks."
570058065480962048,neutral,"@USAirways yes, with Delta!"
570057520162721792,negative,@USAirways well I thought they had hours ago but just found out that no I do not have a seat
570056984986300418,negative,"@USAirways : Was on flight 2046 BOS-CLT on 2/22, awful experience, exit row seat was so narrow that I could not move my legs! Unacceptable."
570056859698270208,negative,"@USAirways yes, but we were answered and put back on hold while they were to check on our request..  50 mins Late Flightr nothing!"
570056533356224512,negative,@USAirways   Not good. On hold for over an hour. http://t.co/wSgYckCIIO
570054495943720960,neutral,@USAirways Expedia reserved a ticket for me and 2 more for a USAW flight but only issued 1. They are not responsive.Thoughts?
570054266267811840,positive,"@USAirways no worries, your flight attendant took care of it."
570054257577041921,neutral,@USAirways Thanks for getting back to me. I called that number earlier but no option to leave vm and just rings with busy tone
570052124010278912,negative,@USAirways I've been on hold for over an hour.  Not doing so well in the customer service department.  #weak
570051488875020288,negative,@USAirways - 53 minutes on hold for a reservation?
570050881879568384,negative,@USAirways @joyadventuremom there are breastfeeding momma's watching this story all over the country! Better work on a faster response :)
570048851295383552,negative,@USAirways #DividendRewards Urgently need to speak with a CS rep. My 50K miles havent shown &amp; I've fulfilled all reqs. Flight Booking Problems flights today
570048275367079937,negative,@usairways I've been on hold for over an hour only b/c my CC miles aren't showing up. What a mediocre combo of cc &amp; airline #SwitchingBoth
570048188830216192,negative,@USAirways I am a premium #DividendMiles #cardholder. Unacceptable 4 you to #hangup my #customerservice call twice after putting me on hold.
570047737347088384,negative,@USAirways I bougth ticket same fligths twice and you dont refund money it is big problem other company refund money why dont u pay back
570047733236695040,negative,@USAirways @AmericanAir now this is beyond ridiculous. Some steering problem delays us again. #neveragain  it's no wonder you had to sell
570045890750230529,negative,"@USAirways hi, Im trying to speak with someone to book travel for a minor. The phone keeps disconnecting. Please advise. Website wont allow."
570045818205384704,negative,@USAirways did a pre schooler develop your app? The thing crashes every single time.
570044019897556994,negative,@USAirways and @FlyKnoxville - bad weather should not be an excuse for not following established luggage procedures. #NoClothesNoInfo
570043607954137090,negative,@USAirways On hold for going on 40 minutes after spending 10 hours delayed in Denver cause of a broken plane. Thanks guys.
